,filter,labels,num_clusters
0,"('T_AVG_EH',)",[1 1 1 ... 1 1 1],2
1,"('T_AVG_EH',)",[3 3 3 ... 3 3 3],4
2,"('T_AVG_EH',)",[0 0 0 ... 0 0 0],6
3,"('T_AVG_EH',)",[2 2 2 ... 2 2 2],8
4,"('T_AVG_EH',)",[4 4 4 ... 6 6 6],10
5,"('T_AVG_EH',)",[9 9 9 ... 4 4 4],12
6,"('T_AVG_EH',)",[11 11 11 ...  3  3  3],14
7,"('T_AVG_EH',)",[10 10 10 ...  0  0  0],16
8,"('T_AVG_ES',)",[0 0 0 ... 0 0 0],2
9,"('T_AVG_ES',)",[0 0 0 ... 0 0 0],4
10,"('T_AVG_ES',)",[4 4 4 ... 4 4 4],6
11,"('T_AVG_ES',)",[2 2 2 ... 7 7 7],8
12,"('T_AVG_ES',)",[0 0 0 ... 9 9 9],10
13,"('T_AVG_ES',)",[3 3 3 ... 8 8 8],12
14,"('T_AVG_ES',)",[12 12 12 ...  6  6  6],14
15,"('T_AVG_ES',)",[13 13 13 ...  7  7  7],16
16,"('T_MIN_ES',)",[1 1 1 ... 1 1 1],2
17,"('T_MIN_ES',)",[0 0 0 ... 0 0 0],4
18,"('T_MIN_ES',)",[5 5 5 ... 0 0 0],6
19,"('T_MIN_ES',)",[5 5 5 ... 2 2 2],8
20,"('T_MIN_ES',)",[1 1 1 ... 5 5 5],10
21,"('T_MIN_ES',)",[9 9 9 ... 7 7 7],12
22,"('T_MIN_ES',)",[3 3 3 ... 0 0 0],14
23,"('T_MIN_ES',)",[ 5 12  5 ...  6  6  6],16
